Timestamp,Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price
1470550020,594.6,594.6,594.6,594.6,0.8859799999999999,526.803708,594.6
1470564420,595.99,595.99,595.99,595.99,0.04111,24.501148899999997,595.99
1470578820,596.56,596.56,596.55,596.56,0.36898000000000003,220.11778880000003,596.55750664
1470593220,591.86,592.25,591.86,592.25,2.5420461,1504.6250545999999,591.89526679
1470607620,594.96,594.96,594.96,594.96,0.78651404,467.94439324,594.96
1470622020,594.09,594.09,594.05,594.05,2.9787292,1769.6293721999998,594.08870475
1470636420,591.36,591.36,591.36,591.36,0.02389,14.1275904,591.36
1470650820,591.3,591.3,591.3,591.3,0.06863,40.580919,591.3
1470665220,593.85,593.85,593.85,593.85,0.29029,172.38871650000002,593.85
1470679620,595.16,595.38,595.15,595.15,2.02432,1205.2182587000002,595.36943699
1470694020,593.43,593.43,592.81,592.81,9.50931587,5641.0296961,593.21088637
1470708420,593.47,593.48,593.47,593.47,1.6172089,959.77625337,593.47697961
1470722820,590.65,590.65,590.65,590.65,0.41195,243.3182675,590.65
1470737220,588.93,588.93,588.93,588.93,0.02392,14.087205599999999,588.93
1470751620,591.41,591.54,591.36,591.36,1.79036,1058.8715286,591.42939331
1470766020,587.95,587.95,587.6,587.62,3.98896,2344.5412149999997,587.75751449
1470780420,586.97,586.97,586.97,586.97,0.025889999999999996,15.1966533,586.97
1470794820,589.94,589.95,589.61,589.61,1.20525,710.96348768,589.88880953
1470809220,587.47,587.93,587.47,587.93,0.99798,586.4863303999999,587.67343073
1470823620,586.63,590.0,586.63,588.92,22.70181022,13377.766142,589.28191242
1470838020,593.82,593.82,593.65,593.65,0.67389,400.1025985,593.72093146
1470852420,597.91,598.19,597.91,598.19,1.1705,700.02738616,598.05842474
1470866820,593.8,594.2,593.8,594.2,0.8706,517.026548,593.87382035
1470881220,599.94,599.94,599.94,599.94,0.23759,142.5397446,599.94
1470895620,593.79,593.79,593.79,593.79,0.08215,48.7798485,593.79
1470910020,594.66,594.67,594.66,594.67,0.144875,86.151614854,594.66170736
1470924420,596.13,596.37,596.13,596.37,0.9894,590.00193737,596.32296076
1470938820,591.9,591.9,591.87,591.87,0.65887,389.9745249,591.8838692
1470953220,590.36,590.36,590.36,590.36,0.1554,91.74194399999999,590.36
1470967620,588.64,588.64,588.58,588.58,0.45545,268.090103,588.62685915
1470982020,585.52,585.52,585.52,585.52,0.16915999999999998,99.0465632,585.52
1470996420,588.99,588.99,588.99,588.99,0.10344,60.92512560000001,588.99
1471010820,587.19,587.19,587.19,587.19,0.47013999999999995,276.06150660000003,587.19
1471025220,588.95,588.96,588.95,588.96,1.4624758999999998,861.32799366,588.95192301
1471039620,586.91,586.92,586.91,586.92,1.12696,661.4247031,586.91054084
1471054020,586.11,586.34,586.11,586.34,2.01248,1179.7599284000003,586.2219392999999
1471068420,588.48,588.48,588.47,588.48,17.56321834,10335.600191,588.47985549
1471082820,588.46,588.46,588.46,588.46,0.02,11.7692,588.46
1471097220,589.1,589.1,589.1,589.1,2.12811,1253.669601,589.1
1471111620,588.69,588.69,588.69,588.69,0.92237,542.9899952999999,588.69
1471126020,586.35,586.36,586.35,586.36,1.5015158000000002,880.41959729,586.35386806
1471140420,586.05,586.16,586.05,586.16,1.31104,768.4592888999999,586.14480786
1471154820,583.12,583.12,583.12,583.12,0.05695,33.208684000000005,583.12
1471169220,584.42,584.42,584.23,584.23,0.80406,469.7757392,584.254582
1471183620,574.16,574.17,574.16,574.16,0.287989,165.35194188,574.16061684
1471198020,569.81,569.83,569.46,569.46,3.11527,1774.3818552999999,569.57562435
1471212420,570.04,570.05,570.04,570.04,0.55929,318.81782410000005,570.04027267
1471226820,570.68,570.88,570.46,570.86,5.24783456,2994.6907260000003,570.65265525
1471241220,572.69,572.69,572.69,572.69,0.39862,228.2856878,572.69
1471255620,573.17,573.17,573.15,573.17,0.76127168,436.33519583,573.16619978
1471270020,568.3,568.55,568.3,568.52,0.53376544,303.36819901,568.35489201
1471284420,565.49,565.49,565.2,565.49,0.44056409999999996,249.08755934,565.3832424
1471298820,568.34,568.34,568.34,568.34,0.0624,35.464416,568.34
1471313220,569.91,570.1,569.91,570.1,2.329,1327.7246151,570.08356166
1471327620,566.56,566.56,566.21,566.21,6.377000000000001,3611.4030688000003,566.31693097
1471342020,569.09,569.09,569.09,569.09,1.23251,701.4091159,569.09
1471356420,569.85,569.96,569.85,569.96,0.21397,121.93587009999999,569.87367435
1471370820,581.72,581.72,581.52,581.52,7.42374,4317.2694979,581.54912455
1471385220,581.1,581.1,580.76,580.76,5.33840584,3101.4124446,580.96228305
1471399620,581.68,581.7,581.68,581.7,0.54081,314.5883608,581.69849078
1471414020,578.54,578.54,578.02,578.02,3.457,1998.8386504999999,578.20036174
1471428420,580.8,580.8,580.8,580.8,0.17046,99.003168,580.8
1471442820,575.48,575.7,575.43,575.7,0.6391899999999999,367.92175,575.60623602
1471457220,571.85,571.85,571.42,571.46,3.8905800000000004,2223.5024789999998,571.50925543
1471471620,573.11,573.31,573.08,573.31,0.18669000000000002,107.01571259999999,573.22680701
1471486020,574.67,574.69,574.67,574.69,1.99564,1146.834887,574.67022459
1471500420,573.99,573.99,573.99,573.99,1.86323,1069.4753877,573.99
1471514820,575.73,575.73,575.73,575.73,0.24135,138.9524355,575.73
1471529220,575.98,575.98,575.98,575.98,0.6737,388.03772599999996,575.98
1471543620,576.06,576.08,575.79,575.79,2.0921,1205.0031569,575.97780073
1471558020,574.6,574.81,574.6,574.81,1.36056594,781.89804207,574.68588555
1471572420,575.48,575.49,575.48,575.49,0.51647,297.2220403,575.48752164
1471586820,574.35,574.35,574.3,574.31,0.19086,109.6132547,574.31234779
1471601220,574.33,574.33,574.33,574.33,0.4565,262.181645,574.33
1471615620,575.43,575.43,575.24,575.24,3.5339300000000002,2032.9010206,575.25220381
1471630020,575.12,575.13,575.12,575.13,1.40344,807.160307,575.1299001
1471644420,574.13,574.37,574.12,574.37,0.27395,157.2890565,574.1524238
1471658820,574.41,574.41,574.41,574.41,0.01676,9.6271116,574.41
1471673220,574.47,574.47,574.46,574.46,0.02,11.4893,574.465
1471687620,579.72,579.72,579.72,579.72,1.9389299999999998,1124.0364995999998,579.72
1471702020,581.05,581.05,581.05,581.05,1.44834,841.557957,581.05
1471716420,580.15,580.23,580.15,580.23,0.54351,315.3205265,580.15588766
1471730820,582.95,582.95,582.68,582.68,4.50557,2626.1337785,582.86382821
1471745220,582.88,582.88,582.87,582.87,0.67035,390.7321787,582.87786783
1471759620,582.99,582.99,582.99,582.99,0.13818,80.5575582,582.99
1471774020,582.81,582.81,582.81,582.81,0.04627,26.966618699999998,582.81
1471788420,582.3,582.31,582.3,582.31,0.22734000000000001,132.38016669,582.30037252
1471802820,581.22,581.22,580.79,581.08,9.40485,5465.097868,581.09357065
1471817220,580.44,580.6,580.44,580.6,0.47731,277.10015844,580.54547033
1471831620,581.0,581.21,580.91,581.21,2.8389599999999997,1649.500665,581.02286226
1471846020,580.12,580.38,580.0,580.38,4.06286992,2357.1974129,580.18037972
1471860420,580.71,580.71,580.7,580.7,0.1321,76.71135,580.70666162
1471874820,581.87,581.9,581.87,581.89,1.6216,943.58696784,581.88638866
1471889220,585.98,585.98,585.97,585.98,2.14123918,1254.704467,585.97118842
1471903620,584.82,584.82,584.72,584.82,4.25852537,2490.3137386,584.78311675
1471918020,585.28,585.28,585.24,585.25,2.4607200000000002,1440.1374967,585.25045379
1471932420,585.74,585.85,585.74,585.85,1.62319,950.84964015,585.79072084
1471946820,580.28,580.34,580.28,580.34,3.15256,1829.3761019,580.28272322
1471961220,585.37,585.51,585.33,585.51,8.429260000000001,4934.6582104,585.42009743
1471975620,581.99,582.01,581.72,581.72,2.87712,1673.9203394,581.80414421
1471990020,582.54,582.59,581.85,582.59,34.91305051,20330.717365,582.32429042
1472004420,581.17,581.17,581.17,581.17,0.45614,265.0948838,581.17
1472018820,579.5,579.5,579.48,579.48,0.32754,189.8049992,579.48647249
1472033220,580.51,580.56,580.51,580.56,0.60594289,351.77899222,580.54809789
1472047620,580.31,580.35,580.26,580.35,2.33949,1357.5824644000002,580.28991977
1472062020,578.18,578.19,578.06,578.19,0.17119,98.975537352,578.16190988
1472076420,578.18,578.54,578.18,578.54,8.8771,5134.7291168,578.42416068
1472090820,575.41,575.41,575.41,575.41,1.9838200000000001,1141.5098662,575.41
1472105220,574.44,574.44,574.44,574.44,0.26948,154.80009119999997,574.44
1472119620,573.85,573.94,573.8,573.94,0.50347,288.9099905,573.83754841
1472134020,574.23,574.33,574.23,574.33,0.45511999999999997,261.37632366,574.30199433
1472148420,575.37,575.37,575.34,575.34,0.7440899999999999,428.12478089999996,575.36693263
1472162820,576.88,576.88,576.87,576.87,0.7291,420.6022197,576.87864449
1472177220,575.65,575.65,575.34,575.34,5.14534,2960.7190471,575.41757145
1472191620,576.41,576.43,576.41,576.43,1.0139799999999999,584.4696694,576.4114375
1472206020,577.91,577.95,577.91,577.95,0.17624529,101.85871554,577.93723477
1472220420,578.96,578.96,578.96,578.96,0.08847999999999999,51.226380799999994,578.96
1472234820,579.15,579.16,579.04,579.04,4.13984,2397.589831,579.15036113
1472249220,578.98,578.98,578.98,578.98,5.02738,2910.7524724,578.98
1472263620,578.1,578.1,578.1,578.1,2.19481,1268.819661,578.1
1472278020,575.23,575.23,575.23,575.23,0.45552,262.0287696,575.23
1472292420,575.59,575.63,575.59,575.62,0.845,486.4000162,575.62132095
1472306820,574.89,574.89,574.85,574.85,0.14819000000000002,85.1922135,574.8850361000001
1472321220,569.71,569.74,569.71,569.74,0.4501,256.4324383,569.72325772
1472335620,570.88,570.88,570.8,570.8,5.06557,2891.6665737,570.84722425
1472350020,570.52,570.88,570.52,570.88,5.28691863,3017.9296669,570.82960379
1472364420,570.99,570.99,570.99,570.99,0.19467,111.1546233,570.99
1472378820,571.99,571.99,571.99,571.99,0.12655,72.3853345,571.99
1472393220,573.99,574.05,573.99,574.05,9.09693,5221.5734347,573.9929222999999
1472407620,572.91,572.93,572.91,572.93,4.30265367,2465.1145583,572.92888234
1472422020,574.67,574.67,574.49,574.67,1.65052,948.26712878,574.52628794
1472436420,575.5,575.5,575.5,575.5,0.31711999999999996,182.50256000000002,575.5
1472450820,575.44,575.44,575.44,575.44,1.68892,971.8721247999999,575.44
1472465220,574.19,574.21,574.19,574.21,0.44821000000000005,257.3620641,574.19973695
1472479620,574.73,574.88,574.71,574.75,0.427613,245.81622437,574.85676153
1472494020,573.07,573.15,573.07,573.1,11.17202,6402.9048798,573.11971155
1472508420,572.8,572.86,572.8,572.86,0.38315,219.48569419999998,572.84534569
1472522820,573.68,573.68,573.26,573.63,22.098760000000002,12673.480724,573.49284413
1472537220,573.9,574.01,573.9,574.01,0.18235,104.6678678,573.99433946
1472551620,575.98,575.98,575.98,575.98,0.50525,291.013895,575.98
1472566020,575.95,575.99,575.9,575.9,3.08072,1774.314282,575.94142993
1472580420,575.37,575.37,575.37,575.37,0.19046096,109.58552256,575.37
1472594820,575.05,575.09,575.0,575.09,1.25889,723.9178988,575.04460183
1472609220,573.7,573.71,572.02,572.32,51.6169614,29585.097267,573.16619314
1472623620,572.32,572.33,572.23,572.23,4.25551334,2435.2963918,572.26853666
1472638020,572.42,572.42,572.38,572.38,3.05820996,1750.4831366,572.38814845
1472652420,572.24,572.42,572.23,572.29,3.64665977,2087.0577973,572.32040524
1472666820,571.64,571.9,571.34,571.6,20.55842907,11753.339477,571.70416267
1472681220,571.79,571.79,571.18,571.32,19.02489668,10871.591755,571.44025208
1472695620,573.31,573.31,573.02,573.02,2.362603,1354.2140229,573.18729506
1472710020,571.68,571.7,571.65,571.65,0.37618,215.05594930000004,571.68363363
1472724420,570.5,570.56,570.45,570.56,2.00536443,1144.0456704000003,570.49265125
1472738820,571.6,571.81,571.54,571.62,3.37607169,1929.8642254000001,571.63010819
1472753220,569.92,569.92,569.53,569.54,14.444770000000002,8228.3236191,569.64033481
1472767620,571.61,571.88,571.32,571.32,3.7078300000000004,2119.8899868,571.73332834
1472782020,571.9,571.9,571.68,571.7,2.43324253,1391.2991312000001,571.78810335
1472796420,570.73,570.73,570.73,570.73,0.12904000000000002,73.64699920000001,570.73
1472810820,571.99,571.99,571.99,571.99,0.75162,429.91912379999997,571.99
1472825220,576.7,576.7,576.65,576.65,0.27828,160.4786567,576.68052573
1472839620,574.99,575.03,574.98,575.03,0.61602,354.2239631,575.02023165
