,bitcoin
1812,8984.62
1813,9112.2
1814,9213.31
1815,9624.38
1816,9811.99
1817,9659.33
1818,9376.24
1819,9372.82
1820,9088.69
1821,9322.81
1822,9003.08
1823,8252.8
1824,8447.13
1825,8422.63
1826,8771.8
1827,8247.4
1828,8377.04
1829,8053.8
1830,8254.03
1831,8277.47
1832,8500.56
1833,8357.88
1834,7974.42
1835,7704.68
1836,7636.52
1837,7457.9
1838,7326.04
1839,7232.68
1840,7132.14
1841,7547.04
1842,7549.99
1843,7556.43
1844,7501.66
1845,7656.1
1846,7622.28
1847,7436.43
1848,7638.11
1849,7711.17
1850,7652.63
1851,7675.77
1852,7337.87
1853,6778.59
1854,6877.72
1855,6600.79
1856,6519.79
1857,6615.55
1858,6515.33
1859,6562.72
1860,6488.37
1861,6712.75
1862,6658.06
1863,6773.49
1864,6659.2
1865,6078.86
1866,5893.52
1867,6171.12
1868,6241.11
1869,6090.15
1870,6117.9
1871,5905.97
1872,6430.12
1873,6377.34
1874,6341.27
1875,6658.22
1876,6497.39
1877,6685.24
1878,6559.07
1879,6639.77
1880,6837.42
1881,6768.26
1882,6685.89
1883,6368.71
1884,6229.81
1885,6256.71
1886,6229.23
1887,6294.14
1888,6383.29
1889,6687.88
1890,7438.13
1891,7345.14
1892,7377.84
1893,7344.44
1894,7398.14
1895,7674.75
1896,7994.39
1897,8292.35
1898,8266.23
1899,7917.23
1900,8183.19
1901,8210.62
1902,8139.36
1903,8131.98
1904,7568.0
1905,7707.07
1906,7343.75
1907,7473.89
1908,6996.36
1909,7020.76
1910,7046.78
1911,6504.95
1912,6351.71
1913,6487.3
1914,6152.86
1915,6343.83
1916,6479.14
1917,6059.4
1918,6445.74
1919,6413.35
1920,6496.01
1921,6504.95
1922,6391.76
1923,6489.82
1924,6489.95
1925,6669.11
1926,6453.43
1927,6537.72
1928,6719.69
1929,6666.5
1930,6729.51
1931,6935.84
1932,7063.13
1933,6994.99
1934,6971.92
1935,7056.51
1936,7257.12
1937,7259.35
1938,7306.47
1939,7375.72
1940,6436.45
1941,6521.66
1942,6509.69
1943,6222.11
1944,6344.49
1945,6348.01
1946,6266.55
1947,6409.88
1948,6431.03
