,Timestamp,BTC-USD-Daily
479,1409248440000.0,508.083
480,1409334840000.0,510.361
481,1409421240000.0,504.556
482,1409507640000.0,475.192
483,1409594040000.0,481.846
484,1409681040000.0,482.651
485,1409767440000.0,477.171
486,1409853840000.0,488.176
487,1409940240000.0,484.695
488,1410026640000.0,487.596
489,1410113040000.0,485.551
490,1410200640000.0,479.012
491,1410287040000.0,472.043
492,1410373440000.0,484.654
493,1410459840000.0,474.61
494,1410546240000.0,476.119
495,1410632640000.0,480.77
496,1410719040000.0,477.706
497,1410805440000.0,476.807
498,1410891840000.0,469.813
499,1410978240000.0,453.857
500,1411064640000.0,425.231
501,1411151039000.0,398.955
502,1411237440000.0,412.868
503,1411323840000.0,402.317
504,1411410239000.0,402.175
505,1411496640000.0,434.903
506,1411583639000.0,428.889
507,1411670039000.0,410.605
508,1411756440000.0,404.686
509,1411842840000.0,398.393
510,1411929239000.0,381.14
511,1412015639000.0,381.27
512,1412102039000.0,384.025
513,1412231940000.0,384.461
514,1412318339000.0,376.265
515,1412408640000.0,358.614
516,1412495040000.0,328.078
517,1412581440000.0,321.4
518,1412667840000.0,326.921
519,1412754240000.0,333.213
520,1412840645000.0,357.081
521,1412927040000.0,371.211
522,1413013440000.0,362.101
523,1413099840000.0,361.012
524,1413186240000.0,372.683
525,1413272640000.0,404.963
526,1413359040000.0,398.12
527,1413445440000.0,393.288
528,1413532140000.0,383.645
529,1413618540000.0,381.085
530,1413704940000.0,392.849
531,1413791340000.0,383.055
532,1413877740000.0,384.58
533,1413964140000.0,386.883
534,1414050540000.0,372.734
535,1414136940000.0,359.324
536,1414223340000.0,353.778
537,1414309740000.0,353.119
538,1414396140000.0,352.45
539,1414482540000.0,357.405
540,1414568940000.0,357.237
541,1414655340000.0,339.989
542,1414741742000.0,345.474
543,1414830240000.0,329.199
544,1414920240000.0,324.968
545,1415006640000.0,330.595
546,1415093040000.0,326.202
547,1415179440000.0,336.67
548,1415265840000.0,340.384
549,1415352240000.0,347.635
550,1415438640000.0,343.492
551,1415525040000.0,349.135
552,1415611440000.0,359.944
